Name,1171_M_O_V-W4_CP04543,1166_M_O_V-W4_CP04543,1170_M_O_V-W4_CP04543,1167_M_O_V-W4_CP04543,1169_M_O_V-W4_CP04543,1172_M_O_V-W4_CP04543,1174_M_O_V-W4_CP04543,1168_M_O_V-W4_CP04543,1173_M_O_V-W4_CP04543,1165_MSV-W4_CP04543,1158_MSV-W4_CP04543,1157_MSV-W4_CP04543,1162_MSV-W4_CP04543,1164_MSV-W4_CP04543,1161_MSV-W4_CP04543,1156_MSV-W4_CP04543,1159_MSV-W4_CP04543,1163_MSV-W4_CP04543,1160_MSV-W4_B_CP04543,1176_M_ORX_E-W4_CP04543,1182_M_ORX_E-W4_CP04543,1177_M_ORX_E-W4_CP04543,1185_M_ORX_E-W4_CP04543,1178_M_ORX_E-W4_CP04543,1184_M_ORX_E-W4_CP04543,1179_M_ORX_E-W4_CP04543,1183_M_ORX_E-W4_CP04543,1180_M_ORX_E-W4_CP04543,1181_M_ORX_E-W4_CP04543
partial TCA cycle (obligate autotrophs),0,0,0,0,0.011974604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homolactic fermentation,0,0,0,0,0,0.009060146,0.015354601,0,0,0,0.043120813,0,0,0,0,0,0,0,0,0.016685199,0.014300496,0.008641458,0.010499704,0,0,0,0.009232583,0.00890024,0
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0,0,0,0,0,0.012238195,0,0,0,0,0,0.0220981,0,0,0,0,0.117501028,0,0,0.008476361,0,0,0.006340082,0,0,0,0.004331902,0.00576251,0
glycogen degradation I,0,0,0,0,0,0.004471428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120318,0,0.003306689,0.004897062,0.005923111,0,0.00943268,0.007857183,0.00542435,0
isoprene biosynthesis I,0,0,0,0,0,0.005096038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011969698,0,0.009185001,0,0.00864754,0.012656705,0.0103264,0
methylerythritol phosphate pathway II,0,0,0,0,0,0.004704578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011921098,0,0.009824491,0,0.008197919,0.013148805,0.0104104,0
guanosine nucleotides degradation II,0,0,0,0,0,0,0.00629783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116797,0.00314834,0,0,0,0,0
guanosine nucleotides degradation I,0,0,0,0,0,0,0.00629783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314834,0,0,0,0,0
guanosine nucleotides degradation III,0,0,0,0,0,0,0.0110851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120139,0.0030617,0,0,0,0,0
adenosine nucleotides degradation II,0,0,0,0,0,0,0.0108621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283384,0,0,0,0,0
tetrapyrrole biosynthesis I (from glutamate),0,0,0,0,0,0,0,0,0,0.019330012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anaerobic energy metabolism (invertebrates, cytosol)",0,0,0,0,0,0,0,0,0,0.014953808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of aromatic amino acid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0.016730301,0,0,0,0,0,0,0.00609576,0,0,0,0,0,0,0,0,0
molybdopterin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036025144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pentose phosphate pathway (non-oxidative branch) II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024488302,0,0,0,0,0,0,0.004734901,0.005050811,0,0,0.002204251,0,0
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00547122,0,0,0,0,0.00493442,0,0,0.00432213,0
L-arginine biosynthesis III (via N-acetyl-L-citrulline),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421412,0,0.00327957,0.002748641,0,0.00502244,0,0.003647671,0.00493649,0.009850553
"C4 photosynthetic carbon assimilation cycle, NAD-ME type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012536096,0,0,0,0,0,0,0,0
superpathway of L-alanine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009522887,0.008922699,0.004280412,0.007135051,0.0106531,0.0121345,0.004059872,0.00608374,0.007887693
phosphatidylglycerol biosynthesis I (plastidic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007988678,0,0.003286651,0,0,0,0,0.00171575,0
phosphatidylglycerol biosynthesis II (non-plastidic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007988678,0,0.003286651,0,0,0,0,0.00171575,0
fucose degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129808,0,0,0,0,0,0,0
superpathway of glycolysis and the Entner-Doudoroff pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004398359,0,0,0,0,0,0,0
Bifidobacterium shunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003716039,0.003964171,0,0,0,0.006105912,0.00428408,0
acetylene degradation (anaerobic),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005677139,0.002328571,0.004424741,0.00608175,0,0.003627751,0.00389452,0
"hexitol fermentation to lactate, formate, ethanol and acetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004356549,0,0,0,0,0,0,0
starch biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006953069,0,0.007161171,0,0,0.007375123,0,0
pyrimidine deoxyribonucleotides de novo biosynthesis IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013197,0.002510631,0,0,0,0,0,0
L-arginine biosynthesis IV (archaebacteria),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009871358,0.010159204,0,0.0139354,0,0.008660173,0.0111172,0.014241605
NAD salvage pathway II (PNC IV cycle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296955,0,0,0,0,0,0,0
superpathway of purine deoxyribonucleosides degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007635348,0.003821951,0.005769941,0.008340701,0,0.004525112,0.00531451,0
ethanolamine utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005677139,0.002328571,0.004424741,0.00608175,0,0.003627751,0.00389452,0
L-ornithine biosynthesis II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002494901,0.00313726,0,0,0.004510462,0,0
Calvin-Benson-Bassham cycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006935422,0,0,0,0,0,0
L-citrulline biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003609401,0.00452044,0,0,0.006088732,0,0
colanic acid building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002881911,0,0,0,0,0,0
pentose phosphate pathway (non-oxidative branch) I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004020171,0.003997521,0,0,0.001901591,0,0
pentose phosphate pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004209261,0.004509391,0,0,0.002513051,0,0
GDP-mannose biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001932891,0,0,0,0,0,0
superpathway of L-cysteine biosynthesis (mammalian),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002480221,0,0,0,0.001627791,0.00116256,0.004742702
superpathway of glucose and xylose degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005540782,0.006395201,0,0,0.004325432,0,0
chitin degradation II (Vibrio),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003046361,0,0,0,0,0,0
superpathway of L-serine and glycine biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002603011,0,0,0,0.001834301,0,0
L-lysine biosynthesis I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703678,0,0,0.003415261,0.00300372,0
mevalonate pathway I (eukaryotes and bacteria),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334464,0,0,0.002414141,0.00125412,0
peptidoglycan maturation (meso-diaminopimelate containing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215516,0,0,0,0,0
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00582369,0,0,0
urea cycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002375541,0,0
superpathway of L-cysteine biosynthesis (fungi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002202361,0,0
superpathway of putrescine biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106738,0,0
4-deoxy-L-threo-hex-4-enopyranuronate degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002304471,0.00111559,0
pyruvate fermentation to acetone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001701621,0,0
homocysteine and cysteine interconversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001492221,0,0
polyisoprenoid biosynthesis (E. coli),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308475,0
fatty acid &beta;-oxidation II (plant peroxisome),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139882,0
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136019,0
all-trans-farnesol biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205013,0
taxadiene biosynthesis (engineered),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036347,0
