Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,1136_FV-W4_CP04543,1137__FV-W4_CP04543,1138__FV-W4_CP04543,1139__FV-W4_CP04543,1140__FV-W4_CP04543,1141__FV-W4_CP04543,1142__FV-W4_CP04543,1143__FV-W4_CP04543,1144__FV-W4_CP04543,1145__FV-W4_CP04543,1146__FT-W4_CP04543,1147__FT-W4_CP04543,1148_FT-W4_CP04543,1149_FT-W4_CP04543,1150_FT-W4_CP04543,1151_FT-W4_CP04543,1152_FT-W4_CP04543,1153_FT-W4_CP04543,1154_FT-W4_CP04543,1155_FT-W4_CP04543
Evtepia gabavorous,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Evtepia,Evtepia gabavorous,Evtepia gabavorous,6E-05,0,0,4E-05,0,0,0,0,0,0,0,0,0,6E-05,0,0,0,0,0,0
Extibacter muris,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Extibacter,Extibacter muris,Extibacter muris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6E-05
Faecalibaculum rodentium,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum rodentium,Faecalibaculum rodentium,0.05296,0.06611,0.02416,0.01616,0.11727,0.15056,0.17411,0.15106,0.07082,0.19609,0.06619,0.07838,0.0116,0.01481,0.01131,0.03308,0.07075,0.03177,0.03785,0.04923
Firmicutes bacterium ASF500,Bacteria,Firmicutes,Firmicutes_u_c,Firmicutes_u_o,Firmicutes_u_f,Firmicutes_u_g,Firmicutes_u_s,Firmicutes bacterium ASF500,0.01106,0.00288,0.00247,0.00162,0.00264,0.00016,0.00075,0.0005,0.00649,0.00143,0.00338,0.00043,0.00179,0.00415,0.00144,0.00143,0.00131,0.0015,0.00592,0.00303
Flavonifractor sp. An10,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor_u_s,Flavonifractor sp. An10,0,4E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavonifractor sp. An100,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor_u_s,Flavonifractor sp. An100,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavonifractor sp. An306,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor_u_s,Flavonifractor sp. An306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5E-05,0
Hungatella effluvii,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella effluvii,Hungatella effluvii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0
Intestinimonas butyriciproducens,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Intestinimonas,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,9E-05,0,0,0,0,0,0,0,0,0,6E-05,0,0,0,0,0,0,0,5E-05,0
Intestinimonas massiliensis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Intestinimonas,Intestinimonas massiliensis,Intestinimonas massiliensis,9E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas timonensis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Intestinimonas,Intestinimonas timonensis,Intestinimonas timonensis,8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5E-05,0,0,0,0
Lachnoclostridium sp. YL32,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_u_s,Lachnoclostridium sp. YL32,0.00047,0.00019,0.00024,0.00014,0.00017,5E-05,0.00012,0.00011,0.00021,8E-05,0.00022,7E-05,7E-05,0.00034,8E-05,5E-05,0.00011,0.00013,0.0003,0.00018
Lachnospiraceae bacterium 10-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 10-1,0.06838,0.03083,0.00459,0.03331,0.0134,0.007,0.00166,0.0033,0.03632,0.00117,0.04274,0.00763,0.02888,0.05843,0.02349,0.00197,0.01315,0.04139,0.04088,0.03195
Lachnospiraceae bacterium 28-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 28-4,0.06504,0.03096,0.02576,0.01993,0.00202,0.00032,0.00372,0.00096,0.0043,0.00674,0.00152,0.00027,0.00091,0.0032,0.00057,0.01137,0.00087,0.00116,0.05116,0.00169
Lachnospiraceae bacterium 3-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium 3-1,0.00958,0.00389,0.0056,0.0023,0.00197,0.00074,0.00416,0.00161,0.00404,0.00177,0.00235,0.00033,0.0006,0.00492,0.00057,0.00136,0.00095,0.00211,0.00465,0.00226
Lachnospiraceae bacterium MD308,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium MD308,0.00238,0.00163,0.0291,0.02131,0.00308,0.00278,0.01794,0.01597,0.00873,0.00711,0.00092,0.00013,0.00049,0.0057,0.0006,0.00032,0.00027,0.00121,0.00244,0.00103
Lachnospiraceae bacterium A2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium A2,0.00882,0.00345,0.00689,0.00474,0.00246,0.00104,0.06982,0.00253,0.00441,0.01438,0.00264,0.00067,0.00179,0.00936,0.00134,0.00174,0.00137,0.00323,0.00438,0.00334
Lachnospiraceae bacterium A4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium A4,0.07503,0.0264,0.01109,0.00368,0.00762,0.00077,0.0024,0.0011,0.01489,0.00247,0.01099,0.00071,0.00316,0.0143,0.0016,0.00443,0.00152,0.00474,0.02705,0.005
Lachnospiraceae bacterium AM25-17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium AM25-17,0,0,0.00019,9E-05,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,7E-05,0.0001,0
Lachnospiraceae bacterium MD335,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium MD335,0.00567,0.00233,0.00674,0.00208,0.00407,0.00075,0.00122,0.00111,0.00467,0.00099,0.00366,0.00149,0.0023,0.00475,0.00167,0.00048,0.00373,0.00174,0.00886,0.00411
Lachnospiraceae bacterium M18-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium M18-1,0.00194,0.00118,0.00236,0.00138,0.00034,0.00038,0.00247,0.00154,0.00042,0.00026,0.00053,0.00016,0.00036,0.00664,0.00052,0.00017,0.00027,0.00105,0.00104,0.0013
Lachnospiraceae bacterium TM07-2AC,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_u_g,Lachnospiraceae_u_s,Lachnospiraceae bacterium TM07-2AC,0,2E-05,0,0,0,0,0,0,0,0,0,0,0,3E-05,0,0,0,0,3E-05,0
Lactobacillaceae bacterium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillales_u_f,Lactobacillales_u_g,Lactobacillales_u_s,Lactobacillaceae bacterium,0.00033,0.01018,0.01873,0.04513,0,0,0,0,0,0,0.01546,0.04845,0.02757,0.00453,0.0231,0.04199,0.05029,0.01364,0.05707,0.04056
Ligilactobacillus animalis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus animalis,Ligilactobacillus animalis,0.00021,0.00039,0.00028,0.00051,0.00027,0.00036,0.0001,0.00027,0.00016,0.0002,0.0005,0.00072,0.00056,0.00048,0.00046,0.00072,0.00064,0.00125,0.00015,0.0004
Lactobacillus gasseri,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,Lactobacillus gasseri,0,0,7E-05,0,0,0.0001,4E-05,0.00012,0,6E-05,0,0,0,0,0,6E-05,0,0,0,3E-05
Lactobacillus intestinalis DSM 6629,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus intestinalis,Lactobacillus intestinalis DSM 6629,0,0,5E-05,0.00015,0,0,0,0,0,0,9E-05,0.00013,8E-05,0,8E-05,9E-05,0.0001,3E-05,0.00013,8E-05
Lactobacillus johnsonii N6.2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,Lactobacillus johnsonii N6.2,0.04395,0.15694,0.22566,0.15719,0.17083,0.28379,0.22879,0.31576,0.03665,0.23382,0.05285,0.08068,0.13993,0.05779,0.10476,0.16865,0.07838,0.11591,0.12387,0.10333
Lactobacillus murinus ASF361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus murinus,Lactobacillus murinus ASF361,0.06309,0.1106,0.07955,0.12683,0.09178,0.10527,0.05235,0.09477,0.08378,0.05858,0.13667,0.17763,0.13877,0.14116,0.10915,0.19072,0.16396,0.31764,0.05011,0.09873
Limosilactobacillus reuteri subsp. murium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,Limosilactobacillus reuteri subsp. murium,0.04454,0.11506,0.12281,0.10437,0.10533,0.13244,0.09554,0.13182,0.01286,0.09216,0.03468,0.06565,0.06242,0.01204,0.04647,0.0758,0.07263,0.03781,0.08341,0.06616
Lactobacillus sp. ASF360,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_u_s,Lactobacillus sp. ASF360,0.0019,0.01163,0.02162,0.05552,0,0,0,0,0,0,0.01813,0.06144,0.03274,0.00549,0.02759,0.05237,0.06358,0.01593,0.0725,0.04945
Lactobacillus sp. UMNPBX19,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_u_s,Lactobacillus sp. UMNPBX19,0,0,0,0,0.00227,0.03764,0.00283,0.04157,0.00011,0.00281,0,0,0,0,0,0,0,0,0,0
Lactobacillus taiwanensis DSM 21401,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus taiwanensis,Lactobacillus taiwanensis DSM 21401,0,0.00012,0.00027,0.00016,0.00017,0.0003,0.00025,0.0003,0,0.00019,0,0.0001,0.00016,0,7E-05,0.00024,0.0001,9E-05,0.00021,0.00014
Lactococcus lactis subsp. lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,Lactococcus lactis subsp. lactis,0,0,0,0,2E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactonifactor longoviformis DSM 17459,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Lactonifactor,Lactonifactor longoviformis,Lactonifactor longoviformis DSM 17459,8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawsonibacter asaccharolyticus,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Lawsonibacter,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,0.00066,0.0001,0,0.00012,6E-05,0,0,0,0.0003,5E-05,9E-05,0,0,0,0,0.0001,0,4E-05,0.00016,0.00016
Massilistercora timonensis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_u_f,Massilistercora,Massilistercora timonensis,Massilistercora timonensis,0,0,0,0,5E-05,3E-05,0,3E-05,0,0,0,0,0,0.0001,0,4E-05,0,0,0,0
Mucispirillum schaedleri ASF457,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,Mucispirillum schaedleri,Mucispirillum schaedleri ASF457,0.00289,0.02226,0.00542,0.0039,0.00018,0.00028,0.00045,0.00103,0.00126,0.0003,0.00301,0.00153,0.00014,0.03556,0.00026,0.00053,0.00499,0.00135,0.00546,0.003
Heminiphilus faecis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Heminiphilus,Heminiphilus faecis,Heminiphilus faecis,0.00027,0.00027,0.00018,0.00019,0.00022,0.0001,0.00012,7E-05,0.00034,0.00016,0.00033,0.00031,0.00028,0.00028,0.00034,0.00022,0.00031,0.00015,0.00022,0.00029
Muribaculaceae bacterium Isolate-001 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-001 (NCI),0,0,0.00096,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,0,0,0,0
Muribaculaceae bacterium Isolate-004 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-004 (NCI),0.00076,0.00083,0.00092,0.00072,0.001,0.0006,0.00064,0.00033,0.00137,0.00063,0.00106,0.00078,0.00125,0.00094,0.00123,0.00083,0.00096,0.00071,0.00083,0.0012
Muribaculaceae bacterium Isolate-013 (NCI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-013 (NCI),0.00084,0.0009,0.00092,0.00087,0.00085,0.00053,0.00054,0.00034,0.00124,0.00058,0.00121,0.00074,0.00098,0.00089,0.00105,0.00068,0.00073,0.00137,0.00072,0.00195
Muribaculaceae bacterium Isolate-036 (Harlan),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-036 (Harlan),0.00076,0.00076,0.00064,0.00075,0.00103,0.0004,0.00048,0.00015,0.00092,0.00039,0.00115,0.00101,0.0013,0.00083,0.00178,0.00097,0.00136,0.00045,0.00098,0.00115
Muribaculaceae bacterium Isolate-037 (Harlan),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-037 (Harlan),0.00017,0.00014,0.00013,0.00012,0.00015,7E-05,7E-05,0,0.00019,8E-05,0.00022,0.00017,0.00021,0.00015,0.00024,0.00014,0.00018,0.0001,0.00015,0.00019
Muribaculaceae bacterium Isolate-039 (Harlan),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-039 (Harlan),0.00102,0.00018,0.00111,0.00013,0.00022,0.00059,0.00147,0.00075,0.00224,0.00085,0.00183,0.00016,0.00012,0.00021,0.00013,0.00015,0.00019,0.00012,0.00129,0.00029
Muribaculaceae bacterium Isolate-043 (Harlan),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-043 (Harlan),0.00083,0.00085,0.00049,0.00203,0.00198,0.00102,0.00038,0.00057,0.00102,0.00043,0.00109,0.00104,0.00284,0.00069,0.00124,0.00279,0.00107,0.00039,0.00081,0.00257
Muribaculaceae bacterium Isolate-077 (Janvier),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-077 (Janvier),0.00177,0.00151,0.00181,9E-05,9E-05,0,0,0,0.00221,4E-05,0.00015,0,0,0,0,3E-05,8E-05,4E-05,0.00146,0
Muribaculaceae bacterium Isolate-080 (Janvier),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-080 (Janvier),0.00024,0.00032,0.0003,0.00029,0.0002,0.0001,0.00012,7E-05,0.00027,0.00016,0.00051,0.00035,0.00031,0.00021,0.00033,0.00021,0.00033,0.00019,0.00033,0.00043
Muribaculaceae bacterium Isolate-083 (Janvier),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-083 (Janvier),0,0.00146,0,0.00143,0.00072,0.00067,0.00097,0.00068,0.00093,0.00099,0.00199,0.00159,0.00142,0.00109,0,0.00122,0,0.00098,0.00099,0.00163
Muribaculaceae bacterium Isolate-102 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-102 (HZI),0.11579,0.10202,0.0652,0.08532,0.08971,0.03645,0.05806,0.02109,0.14475,0.06644,0.15575,0.1373,0.1223,0.12258,0.153,0.08502,0.13319,0.05517,0.0952,0.12054
Muribaculaceae bacterium Isolate-104 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-104 (HZI),0.00109,0.00125,0.001,0.00105,0.00131,0.00066,0.00072,0.00041,0.00172,0.00091,0.00175,0.00131,0.0015,0.00133,0.00163,0.00097,0.00125,0.00101,0.00116,0.0015
Muribaculaceae bacterium Isolate-105 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-105 (HZI),0.00878,0.00948,0.00569,0.00709,0.00841,0.00418,0.00402,0.00214,0.00972,0.0048,0.01095,0.0096,0.01136,0.00808,0.01318,0.00692,0.00979,0.00637,0.00863,0.01109
Muribaculaceae bacterium Isolate-110 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-110 (HZI),0.00035,0.00037,0.0003,0.00032,0.00034,0.00019,0.00019,0.00011,0.00041,0.00023,0.00045,0.00038,0.0004,0.00036,0.00043,0.00028,0.00035,0.00028,0.00031,0.00044
Muribaculaceae bacterium Isolate-113 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-113 (HZI),2E-05,2E-05,0,1E-05,2E-05,2E-05,0,1E-05,3E-05,1E-05,2E-05,0,2E-05,2E-05,2E-05,1E-05,0,1E-05,0,2E-05
Muribaculaceae bacterium Isolate-114 (HZI),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_u_g,Muribaculaceae_u_s,Muribaculaceae bacterium Isolate-114 (HZI),0,0,4E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muribaculum sp. NM65_B17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum_u_s,Muribaculum sp. NM65_B17,0.08821,0.07931,0.05325,0.06692,0.06892,0.02933,0.04503,0.01711,0.11011,0.05069,0.11799,0.10211,0.09227,0.09642,0.11364,0.06843,0.0988,0.04546,0.07304,0.09016
Odoribacter splanchnicus DSM 20712,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,Odoribacter splanchnicus DSM 20712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4E-05,0,0
Oscillibacter sp. 1-3,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter_u_s,Oscillibacter sp. 1-3,0.01037,0.00277,0.00233,0.00135,0.00304,0.00021,0.00056,0.00063,0.0048,0.00148,0.00281,0.00045,0.00151,0.00251,0.00117,0.00147,0.00133,0.00101,0.00383,0.00222
Oscillospiraceae bacterium VE202-24,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillospiraceae_u_g,Oscillospiraceae_u_s,Oscillospiraceae bacterium VE202-24,8E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides distasonis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides distasonis,0.00066,0.00043,0.00051,0.00065,0.00076,0.00024,0.00034,6E-05,0.00143,0.00066,0.00066,0.00086,0.0011,0.00046,0.0012,0.00058,0.00086,0.00064,0.00093,0.00072
Parabacteroides goldsteinii CL02T12C30,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides goldsteinii,Parabacteroides goldsteinii CL02T12C30,0,0,4E-05,5E-05,5E-05,0,0,0,0,5E-05,4E-05,8E-05,9E-05,0,0.00011,4E-05,7E-05,3E-05,5E-05,5E-05
Paramuribaculum intestinale,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Paramuribaculum intestinale,Paramuribaculum intestinale,0.00014,0.00015,0.00011,9E-05,0.00019,7E-05,0.0001,7E-05,0.00019,9E-05,0.00019,0.00013,0.00011,0.00018,0.00021,7E-05,0.00016,0.00013,0.00014,0.00021
Adlercreutzia caecicola,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia caecicola,Adlercreutzia caecicola,6E-05,5E-05,9E-05,5E-05,6E-05,8E-05,9E-05,0.00016,0,8E-05,8E-05,7E-05,6E-05,0.00012,0.00011,4E-05,7E-05,0.00011,4E-05,0.0001
Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides difficile,0.00284,0.00048,0.00334,0.00202,0.00058,0.00064,0.00156,0.00108,0.00077,0.00027,0.00174,0.00012,0.00019,0.0044,0.00092,0.00063,0.00019,0.00082,0.00209,0.00219
Porphyromonas_u_t,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_u_s,Porphyromonas_u_t,0,0,0,0,1E-05,0,0,0,0.00137,0,0,0,1E-05,0,1E-05,0,0,1E-05,2E-05,1E-05
Prevotella sp. MGM1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_u_s,Prevotella sp. MGM1,0.02639,0.01742,0.02112,0.03089,0.03295,0.00626,0.0082,0.00122,0.0522,0.03018,0.02932,0.03986,0.04653,0.01344,0.05111,0.02713,0.04253,0.02453,0.03275,0.0252
Pseudoflavonifractor capillosus ATCC 29799,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus ATCC 29799,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4E-05,0
Pseudoflavonifractor sp. An184,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,Pseudoflavonifractor_u_s,Pseudoflavonifractor sp. An184,0.00029,0,0,0,7E-05,0,0,0,0.00012,0,6E-05,0,0,0,0,0,0,0,0.0001,0
Pseudoflavonifractor sp. Marseille-P3106,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,Pseudoflavonifractor_u_s,Pseudoflavonifractor sp. Marseille-P3106,0,6E-05,0,5E-05,0,0,0,0,0,0,0,0,0,0,0,4E-05,0,3E-05,0,5E-05
Roseburia sp. 1XD42-69,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_u_s,Roseburia sp. 1XD42-69,0.00746,0.00334,0.0047,0.00234,0.00853,0.00379,0.00179,0.00367,0.00604,0.00145,0.00193,0.00045,0.0024,0.01041,0.00235,0.00412,0.00106,0.00256,0.00391,0.002
Ruminococcaceae bacterium D16,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_u_g,Ruminococcaceae_u_s,Ruminococcaceae bacterium D16,5E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus sp. AF34-12,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_u_s,Ruminococcus sp. AF34-12,0,0,0,0,0,0,0,0,0,0,0,8E-05,0.00013,0,0,0,9E-05,7E-05,0,0
Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0
Mammaliicoccus lentus F1142,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus lentus,Mammaliicoccus lentus F1142,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0.00022,0,0
Staphylococcus xylosus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Staphylococcus xylosus,0,0,0,2E-05,0,0.00019,5E-05,0.00277,0.00038,0.00263,0.00215,0,0.00021,0.00025,0,0.00012,0,0.0034,0,0
Staphylococcus xylosus DMB3-Bh1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Staphylococcus xylosus DMB3-Bh1,0,0,0,0,7E-05,0,0,0,0,0,0,0.00015,0,0,0.0001,0,6E-05,0,0.00261,0.00024
Streptococcus_u_t,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_u_s,Streptococcus_u_t,0,5E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus pneumoniae 6901-05,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,Streptococcus pneumoniae 6901-05,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0,0,0
Streptococcus pneumoniae GA11426,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,Streptococcus pneumoniae GA11426,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0.00029,0,0,0,0
Streptococcus sp. LYSM12,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_u_s,Streptococcus sp. LYSM12,0,5E-05,0.0002,0,0.00018,0,0,0.00068,0,7E-05,0.0001,3E-05,0,0,0,0,0,5E-05,7E-05,0.00041
Subdoligranulum sp. AM23-21AC,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Subdoligranulum_u_s,Subdoligranulum sp. AM23-21AC,0,0,0,0,3E-05,0,0,8E-05,0.0001,0,0,0,0,0,0,0,0,0,0,0
